,Voltage,l,lf,lg,li,w,wf,wg,wi
2974,0V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
2975,0V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
2976,0V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
2977,0V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
2978,0V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
2979,0V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
2980,1V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
2981,1V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
2982,1V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
2983,1V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
2984,1V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
2985,1V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
2986,1V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
2987,1V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
2988,1V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
2989,2V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
2990,2V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
2991,2V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
2992,2V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
2993,2V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
2994,2V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
2995,2V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
2996,2V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
2997,2V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
2998,3V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
2999,3V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
3000,3V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
3001,3V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
3002,3V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
3003,3V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
3004,3V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
3005,3V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
3006,3V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,2mm
3007,4V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1mm
3008,4V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1mm
3009,4V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1mm
3010,4V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,1.5mm
3011,4V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,1.5mm
3012,4V,29.5mm,6mm,41.58mm,11mm,28mm,3mm,41.13mm,1.5mm
3013,4V,29.5mm,6mm,41.58mm,10mm,28mm,3mm,41.13mm,2mm
3014,4V,29.5mm,6mm,41.58mm,10.5mm,28mm,3mm,41.13mm,2mm
